delivery_date,weight,vehicle_size,billed_miles,total,pickup_state,deliver_state,duration_hours,rpm,predicted_cost,predicted_rpm,error,label
2023-01-07,1449,CARGO VAN,743.0,924.91,MI,SC,18,1.2448317631224763,1161.9091346196456,1.5638077181960237,0.32,4
2023-01-11,14550,TRACTOR,2512.0,9000.0,EM,NY,93,3.582802547770701,9161.35445269501,3.647036008238459,0.06,1
2023-01-11,120,CARGO VAN,1643.0,1761.91,TX,MI,46,1.0723737066342058,1949.563968634316,1.1865879297835156,0.11,2
2023-01-10,805,SPRINTER,2091.0,8000.0,SL,MI,78,3.8259206121472977,3582.8339959706364,1.7134548043857658,-2.11,-22
2023-01-09,20000,TRACTOR,1236.0,7000.0,MONTERREY,TN,59,5.663430420711974,7100.107239642427,5.744423333044034,0.08,1
2023-01-10,344,CARGO VAN,1160.0,2357.0,GA,TX,24,2.031896551724138,1807.333414614884,1.5580460470817965,-0.47,-5
2023-01-10,14982,TRACTOR,1798.0,7500.0,EM,TN,56,4.171301446051168,7805.520509876958,4.341223865337574,0.17,2
2023-01-10,17009,TRACTOR,1464.0,5200.0,IN,TX,27,3.551912568306011,5107.418915219845,3.488674122417927,-0.06,-1
2023-01-11,1085,DOCK HIGH STRAIGHT,1654.0,4462.54,GJ,AL,86,2.6980290205562274,4070.6126107861664,2.46107171147894,-0.24,-3
2023-01-09,203,SPRINTER,1361.0,2012.21,TX,KY,37,1.4784790595150623,2060.847856093593,1.5142159118983047,0.04,1
2023-01-10,1900,DOCK HIGH STRAIGHT,1350.0,3383.69,TX,IL,61,2.506437037037037,2759.207676158635,2.043857537895285,-0.46,-5
2023-01-10,8246,TRACTOR,1391.0,6591.86,TX,IL,61,4.738936017253774,5526.448607119351,3.973004030998815,-0.77,-8
2023-01-11,5630,DOCK HIGH STRAIGHT,1361.0,2643.0,TX,SC,32,1.9419544452608373,3260.8008988589704,2.3958860388383325,0.45,5
2023-01-09,258,CARGO VAN,1092.0,2125.0,TX,TN,22,1.945970695970696,1408.8079398812188,1.2901171610633873,-0.66,-7
2023-01-11,805,SPRINTER,1304.0,1210.0,TX,KY,34,0.9279141104294478,1956.5119657746127,1.5003926117903472,0.57,6
2023-01-11,5000,DOCK HIGH STRAIGHT,2323.0,7400.0,TX,WA,55,3.1855359448988376,6316.251459768306,2.719006224609688,-0.47,-5
2023-01-10,9400,DOCK HIGH STRAIGHT,1608.0,4100.0,TX,MI,41,2.5497512437810945,3565.614239500253,2.217421790733988,-0.33,-4
2023-01-10,5093,DOCK HIGH STRAIGHT,1608.0,4100.0,TX,MI,42,2.5497512437810945,3238.586185826852,2.01404613546446,-0.54,-6
2023-01-11,554,CARGO VAN,1604.0,1465.25,TX,OH,38,0.913497506234414,1902.4901258981577,1.1860911009340136,0.27,3
2023-01-11,350,SPRINTER,1731.0,2105.83,TX,MI,43,1.2165395725014445,2281.0775401608653,1.3177802080652024,0.1,2
2023-01-11,3000,DOCK HIGH STRAIGHT,1594.0,2995.0,TX,MI,40,1.8789209535759093,2888.5312513386066,1.812127510250067,-0.07,-1
2021-01-12,83,SPRINTER,2407.0,3059.0,MI,PU,103,1.2708766098878272,2872.6093945864645,1.1934397152415723,-0.08,-1
2021-01-13,138,CARGO VAN,380.0,1119.44,PA,MI,122,2.9458947368421056,1064.1947321194912,2.800512452946029,-0.15,-2
2021-01-10,9500,DOCK HIGH STRAIGHT,1496.0,5488.0,IN,TX,49,3.6684491978609626,3362.380687856235,2.247580673700692,-1.42,-15
2021-01-08,3520,DOCK HIGH STRAIGHT,435.0,1800.0,MI,KY,8,4.137931034482759,1649.9858912699808,3.793071014413749,-0.34,-4
2021-01-11,2300,CARGO VAN,1610.0,1640.0,OH,TX,73,1.0186335403726707,1544.4260811134511,0.9592708578344415,-0.06,-1
2021-01-08,10560,TRACTOR,437.0,1800.0,KY,MI,8,4.118993135011442,1809.4031089765087,4.140510546857001,0.02,1
2021-01-15,315,TRACTOR,1721.0,4488.0,IL,GJ,179,2.6077861708309125,5351.552295020845,3.109559729820363,0.5,6
2021-01-10,1438,SPRINTER,1358.0,2089.0,IL,TX,45,1.5382916053019149,1704.6889211943717,1.2552937564023354,-0.28,-3
2021-01-11,4038,DOCK HIGH STRAIGHT,1577.0,2440.0,MI,TX,71,1.5472415979708307,3020.485227851145,1.9153362256506945,0.37,4
